,W1,W2,W3,Epsilon,l
bur26a,0.030883,0.363862,0.605255,9.145745,10.123808
bur26a_dual,0.030883,0.363862,0.605255,9.145745,10.123808
bur26b,0.033055,0.405233,0.561712,8.883416,9.862008
bur26b_dual,0.033055,0.405233,0.561712,8.883416,9.862008
bur26c,0.031696,0.342857,0.625447,9.271762,10.244756
bur26c_dual,0.031696,0.342857,0.625447,9.271762,10.244756
bur26d,0.034094,0.383748,0.582158,9.003668,9.984423
bur26d_dual,0.034094,0.383748,0.582158,9.003668,9.984423
bur26e,0.021285,0.320633,0.658082,9.48944,10.443172
bur26e_dual,0.021285,0.320633,0.658082,9.48944,10.443172
bur26f,0.022908,0.359073,0.618019,9.229455,10.20239
bur26f_dual,0.022908,0.359073,0.618019,9.229455,10.20239
bur26g,0.032039,0.322918,0.645043,9.39767,10.362249
bur26g_dual,0.032039,0.322918,0.645043,9.39767,10.362249
bur26h,0.03444,0.361185,0.604375,9.138485,10.117639
bur26h_dual,0.03444,0.361185,0.604375,9.138485,10.117639
chr12a,0.0,0.931506,0.068494,3.096403,3.171236
chr12a_dual,0.0,0.931506,0.068494,3.096403,3.171236
chr12b,0.0,0.86155,0.13845,3.201475,3.346126
chr12b_dual,0.0,0.86155,0.13845,3.201475,3.346126
chr12c,0.0,0.968264,0.031736,3.04391,3.07934
chr12c_dual,0.0,0.968264,0.031736,3.04391,3.07934
chr15a,0.0,0.908042,0.091958,3.917246,4.048863
chr15a_dual,0.0,0.908042,0.091958,3.917246,4.048863
chr15b,0.0,0.803796,0.196204,4.125842,4.387663
chr15b_dual,0.0,0.803796,0.196204,4.125842,4.387663
chr15c,0.0,0.94769,0.05231,3.843343,3.920009
chr15c_dual,0.0,0.94769,0.05231,3.843343,3.920009
chr18a,0.0,0.960488,0.039512,4.585258,4.658048
chr18a_dual,0.0,0.960488,0.039512,4.585258,4.658048
chr18b,0.0,0.93941,0.06059,4.632075,4.742362
chr18b_dual,0.0,0.93941,0.06059,4.632075,4.742362
chr20a,0.0,0.956714,0.043286,5.104666,5.194787
chr20a_dual,0.0,0.956714,0.043286,5.104666,5.194787
chr20b,0.0,0.985124,0.014876,5.035483,5.066942
chr20b_dual,0.0,0.985124,0.014876,5.035483,5.066942
chr20c,0.0,0.895788,0.104212,5.259634,5.468954
chr20c_dual,0.0,0.895788,0.104212,5.259634,5.468954
chr22a,0.0,0.904012,0.095988,5.763439,5.979941
chr22a_dual,0.0,0.904012,0.095988,5.763439,5.979941
chr22b,0.0,0.936229,0.063771,5.672251,5.818857
chr22b_dual,0.0,0.936229,0.063771,5.672251,5.818857
chr25a,0.0,0.922962,0.077038,6.489555,6.692968
chr25a_dual,0.0,0.922962,0.077038,6.489555,6.692968
dre110,0.0,0.995789,0.004211,27.557492,27.613701
dre110_dual,0.0,0.995789,0.004211,27.557492,27.613701
dre28,0.0,0.970472,0.029528,7.100955,7.19193
