scenario_name,seed,config_id,avg_cost,num_evaluations,total_trials,walltime,finished,islands_num,migration,migration_batch,migration_freq,probCXcrossover,probMutateInverse,probMutateShift,probMutateSwap,probNothing,probOXcrossover,probPMXcrossover,release,reproduction,succession
xtab40N1,42,1083,1769902293.0,3,2500,450.77437806129456,True,4,NonlinearRank,0.1368716497755,463,0.19863709623303197,0.09447475301315368,0.13794870917793087,0.11464175084683764,0.18764768325025002,0.022821431611922915,0.24382857586687284,LinearRank,Threshold,NoElitism
xran40A1,42,370,338011959.3333333,3,2500,388.0077803134918,True,10,Threshold,0.3869428106014,172,0.09923884991206587,0.12884479506871435,0.1176893792587502,0.30398599116223657,0.03465323991701557,0.09614797017958099,0.2194397745016365,LinearRank,NonlinearRank,Elitism
tcycle81_Dhyper_27,42,976,918732.3333333334,3,2500,1676.6820578575134,True,10,Tournament,0.1301038022519,360,0.2757538431633422,0.0012167831374731892,0.12437501230275913,0.28790131213039954,0.06884513470429586,0.14548362555118882,0.09642428901054126,LinearRank,NonlinearRank,Elitism
tai30b,42,1026,638383726.3333334,3,2500,966.345675945282,True,3,Threshold,0.0793214649342,498,0.2301700198435524,0.14545354170149333,0.16359163259639092,0.13232838895356225,0.00744621806017357,0.08636610722752704,0.2346440916173006,LinearRank,Tournament,NoElitism
evoflow_sko72_7_1,42,1149,6836753.333333333,3,2500,1846.2553822994232,True,2,Roulette,0.3643519670035,120,0.32639985832562296,0.13376503521009406,0.013237298444374539,0.16040564517531508,0.05226823873273213,0.09821411447907401,0.21570980963278724,Roulette,Threshold,NoElitism
squares81_Dhyper_11,42,893,7433114.666666667,3,2500,1346.741008758545,True,10,Threshold,0.0778263487151,53,0.17249080468800412,0.08751859933583449,0.1523722557164729,0.1396883445558404,0.1657275792102382,0.21311529603534937,0.06908712045826049,Threshold,Tournament,SteadyState
qapsatE55_1,42,947,151.0,3,2500,241.00568056106567,True,10,Threshold,0.3832849280249,195,0.014964394855892066,0.02972316170582037,0.21624361898763364,0.34576133235202405,0.2330133713916622,0.13384369756516057,0.026450423141807112,LinearRank,Tournament,NoElitism
esc32h,42,975,438.0,3,2500,457.0587303638458,True,2,Roulette,0.0405826888979,425,0.3046904334465122,0.014724566768776143,0.09590586581283565,0.3339720025183799,0.11314486000334316,0.0033709628846630394,0.1341913085654898,LinearRank,Threshold,NoElitism
hyp81_7,42,1032,379328.3333333333,3,2500,1430.6469674110413,True,10,LinearRank,0.0845570878232,322,0.24328908053231946,0.012666913280339497,0.13472472652062936,0.27735815655909873,0.08501375905970912,0.1453445791508718,0.10160278489703206,LinearRank,NonlinearRank,Elitism
evoflow_stf60es2_1_1,42,1068,35035023.666666664,3,2500,694.2745881080627,True,2,Tournament,0.1653937824153,500,0.24041179914142927,0.0047636675088709585,0.023916969228728456,0.05452603321487717,0.24296725678007175,0.183575346755445,0.2498389273705774,LinearRank,Threshold,NoElitism
stf60mr2,42,1068,53649.666666666664,3,2500,689.626974105835,True,2,NonlinearRank,0.2581329151461,26,0.23238131594124242,0.14364923833216298,0.09588774357424813,0.09513803518474438,0.05877632999151256,0.13512346369642292,0.23904387327966664,Threshold,Threshold,NoElitism
stf80ep3,42,1072,1065513.6666666667,3,2500,1279.7466313838959,True,3,Threshold,0.3675369189801,35,0.24491650965028092,0.0079217048807532,0.0441193879273825,0.1962823417908399,0.08223581421267825,0.17302371378544631,0.25150052775261894,LinearRank,Threshold,NoElitism
squares81_Dhyper_29,42,846,20826851.333333332,3,2500,2648.8828115463257,True,9,Threshold,0.3512868051249,198,0.10570421038319905,0.024680528872822675,0.06822955089204075,0.3984967688171542,0.018676804587399346,0.3466058677307884,0.0376062687165956,Tournament,Tournament,SteadyState
lipa40a,42,940,31921.0,3,2500,553.0323464870453,True,6,LinearRank,0.2645374267781,388,0.37330339989095,0.026794900661857354,0.053227017657967446,0.06469347445015418,0.002079835505051381,0.12800583334543564,0.3518955384885839,Roulette,Threshold,NoElitism
stf120er5,42,761,14517343.666666666,3,2500,1869.2672624588013,True,7,LinearRank,0.0318100315771,59,0.21309128987197984,0.16623990119586735,0.10613641558309578,0.19111813661686455,0.06048546416162259,0.14454516876725537,0.11838362380331466,Threshold,Tournament,NoElitism
