base_scenario,islands_num,migration,migration_batch,migration_freq,probCXcrossover,probMutateInverse,probMutateShift,probMutateSwap,probNothing,probOXcrossover,probPMXcrossover,release,reproduction,succession
bur26b,2.2982001,Roulette,0.105408356,117.65675,0.23606315,0.17222233,0.002682997,0.27545634,0.20504335,0.0013846682,0.11941256,Threshold,LinearRank,SteadyState
bur26c,5.2165008,Tournament,0.39721307,414.18948,0.2654951,0.022421647,0.2519848,0.12861228,0.159866,0.008509656,0.17902558,Roulette,Tournament,NoElitism
bur26d,8.690709,Threshold,0.044160374,179.74141,0.042539425,0.13084704,0.19437051,0.107743815,0.18218943,0.19060978,0.16705853,Tournament,Tournament,SteadyState
bur26e,9.84241,LinearRank,0.23900065,66.20374,0.14547911,0.08532678,0.0025101062,0.2474728,0.20368369,0.1737726,0.16002667,Tournament,Roulette,SteadyState
bur26f,8.881254,Roulette,0.12790929,27.7855,0.31321564,0.13952884,0.09964099,0.058439,0.262188,0.023791516,0.09646,Threshold,Tournament,SteadyState
bur26g,9.49642,Tournament,0.2670464,74.37789,0.21995132,0.0057843733,0.17115565,0.2022817,0.20658077,0.013511039,0.19806021,Threshold,Tournament,SteadyState
bur26h,4.213365,NonlinearRank,0.021864358,185.70464,0.04649514,0.14548169,0.1497579,0.09324715,0.2750182,0.06825683,0.20981294,Threshold,Threshold,NoElitism
chr12a,9.603871,NonlinearRank,0.11846878,42.85226,0.17230318,0.22471344,0.198532,0.15002082,0.05814485,0.027760208,0.18143952,LinearRank,LinearRank,Elitism
chr12b,7.9822803,LinearRank,0.25649503,320.12427,0.14790125,0.0922826,0.15193462,0.16820714,0.09492894,0.15301378,0.18725273,LinearRank,Tournament,Elitism
chr12c,2.3513663,Threshold,0.13655154,372.8325,0.017250884,0.09388558,0.018692052,0.20080103,0.26432332,0.28358775,0.117084466,Threshold,Threshold,NoElitism
chr15a,6.071235,Roulette,0.11259033,87.72128,0.051551692,0.101787254,0.07601084,0.2515884,0.17810996,0.19535261,0.14520349,Threshold,Threshold,SteadyState
chr15b,7.914221,NonlinearRank,0.12124151,482.66357,0.28255525,0.11949717,0.28610078,0.078971416,0.23023354,0.0044016503,0.005015977,Threshold,Roulette,SteadyState
chr15c,8.830343,LinearRank,0.043433603,270.03992,0.18975195,0.04278277,0.12465487,0.03082581,0.22374988,0.19559537,0.18850188,Tournament,Threshold,SteadyState
chr18a,6.987327,LinearRank,0.028740998,174.04893,0.051372346,0.13822658,0.108029194,0.16857003,0.26265588,0.048146956,0.21072918,Tournament,Threshold,NoElitism
chr18b,2.1936114,Roulette,0.35527745,205.4154,0.02780355,0.08811222,0.06110838,0.3118444,0.045272198,0.2231351,0.26591074,LinearRank,LinearRank,Elitism
chr20a,3.3377092,LinearRank,0.13489142,465.56067,0.25456503,0.030769268,0.012736007,0.253194,0.012936676,0.11696455,0.34022903,NonlinearRank,Threshold,NoElitism
chr20b,9.70948,Roulette,0.34875745,100.7043,0.14909191,0.077008955,0.13528484,0.24252038,0.1050039,0.062487334,0.23099768,Threshold,Threshold,SteadyState
chr20c,8.785126,LinearRank,0.29883265,377.16364,0.3926987,0.033926196,0.03801943,0.05199968,0.01907596,0.13501008,0.3378136,Roulette,Threshold,SteadyState
chr22a,3.249416,NonlinearRank,0.0871632,341.1052,0.25785094,0.09090627,0.106145374,0.1517076,0.1538364,0.04950794,0.18954466,Tournament,Threshold,NoElitism
chr22b,6.859364,LinearRank,0.3111062,414.61374,0.18015814,0.002488248,0.027967157,0.108037084,0.16801089,0.26439014,0.25699627,Tournament,Threshold,NoElitism
chr25a,9.708578,LinearRank,0.23659137,279.32184,-0.0016226426,0.1738918,0.22227149,0.23237371,0.1785108,0.10266001,0.096723,Roulette,Tournament,SteadyState
dre110,3.1913137,Tournament,0.389493,79.20263,0.22789647,0.19189677,0.12893541,0.23461235,0.06655681,0.001020804,0.1613581,Threshold,Tournament,NoElitism
dre28,9.81524,Threshold,0.12890029,281.38562,0.1862158,0.21999083,0.20007202,0.19563267,0.018464023,0.20091628,0.0027032709,Threshold,Tournament,SteadyState
dre30,8.9913435,LinearRank,0.04838415,43.584877,0.010540376,0.23970945,0.21978626,0.15323934,0.2292156,0.10088439,0.029532235,Threshold,Tournament,NoElitism
dre56,8.942784,Threshold,0.37095505,182.38925,0.22484581,0.17080756,0.008273194,0.19793004,0.026414651,0.17036761,0.22492751,NonlinearRank,Tournament,NoElitism
dre90,9.844298,Threshold,0.13576207,24.727123,0.04921412,0.030467894,0.14292711,0.14571404,0.20501196,0.27201584,0.15797147,Tournament,Tournament,NoElitism
els19,5.023432,NonlinearRank,0.29673642,406.0929,0.22123004,0.01457926,0.13904083,0.16297956,0.010460165,0.31306994,0.15364486,LinearRank,Tournament,SteadyState
esc128,2.3371203,Threshold,0.37983063,479.01572,0.28239813,0.082348615,0.090281226,0.1387954,0.10119761,0.08780942,0.20282602,NonlinearRank,Threshold,NoElitism
esc16a,7.9357476,LinearRank,0.24880683,310.97012,0.14991403,0.09883398,0.15246609,0.16572925,0.09500896,0.14998898,0.18592843,LinearRank,Tournament,Elitism
esc16b,7.945786,LinearRank,0.24867243,313.53323,0.14931817,0.097931966,0.14982784,0.1654053,0.09605399,0.15044406,0.18597053,LinearRank,Tournament,Elitism
esc16d,7.9602084,LinearRank,0.24920736,312.25143,0.15010926,0.09855183,0.1522488,0.16710922,0.09509619,0.15033604,0.1854886,LinearRank,Tournament,Elitism
esc16e,7.998279,LinearRank,0.24967784,312.72055,0.15210217,0.09847459,0.15209688,0.1674125,0.09447377,0.15000775,0.18497016,LinearRank,Tournament,Elitism
esc16g,7.9836736,LinearRank,0.24889605,313.05634,0.15237942,0.098523065,0.15178494,0.16701622,0.096424244,0.14992787,0.18546908,LinearRank,Tournament,Elitism
esc16h,7.9676137,LinearRank,0.24866492,313.36475,0.15042461,0.09806796,0.15090719,0.16586514,0.096207865,0.15069737,0.18540928,LinearRank,Tournament,Elitism
esc16i,7.9423194,LinearRank,0.24784182,312.19254,0.15192573,0.09887317,0.15055847,0.16489187,0.09731306,0.14902496,0.184226,LinearRank,Tournament,Elitism
esc16j,7.9834905,LinearRank,0.24664614,312.88055,0.15087949,0.09862149,0.15264602,0.16721638,0.094135866,0.14978768,0.18506156,LinearRank,Tournament,Elitism
esc32a,5.175236,NonlinearRank,0.08476437,89.81725,0.1703728,0.102208525,0.107598096,0.19984794,0.22267127,0.11768286,0.06302994,LinearRank,Tournament,NoElitism
esc32c,7.8564363,LinearRank,0.24912241,312.55338,0.14651574,0.100101665,0.15292169,0.16648382,0.09460368,0.15259059,0.18245433,LinearRank,Tournament,Elitism
esc32d,9.800224,LinearRank,0.30452353,419.39423,0.34670225,0.022176683,0.046095777,0.11975051,0.0072090677,0.11772854,0.34756127,LinearRank,Threshold,NoElitism
esc32e,7.9361997,LinearRank,0.24845144,313.4312,0.15226047,0.09414017,0.15289278,0.16689989,0.09597256,0.14758268,0.1857865,LinearRank,Tournament,Elitism
esc32g,7.968947,LinearRank,0.24890049,312.91428,0.1509231,0.095349096,0.15265828,0.1673807,0.095513634,0.1483067,0.18589962,LinearRank,Tournament,Elitism
esc32h,2.4270887,Roulette,0.037544653,425.09985,0.31350234,0.0129893,0.09489793,0.34312,0.112053595,0.001889844,0.1279259,LinearRank,Threshold,NoElitism
