scenario_name,base_scenario,scenario_name,W1,W2,W3,Epsilon,l,feature_DistNormalisedMean,feature_FlowNormalisedMean,feature_DistTraceProportion,feature_FlowTraceProportion,feature_DistSparsity,feature_FlowSparsity,feature_DistDominance,feature_FlowDominance,feature_DistTRIPOD,feature_FlowTRIPOD,feature_DistDiversity,feature_FlowDiversity,feature_DistOutliers,feature_FlowOutliers,feature_DistAlpha,feature_FlowAlpha,feature_DistBeta,feature_FlowBeta,feature_DistSkew,feature_FlowSkew,feature_DistKurt,feature_FlowKurt,feature_DistNearSimilarity,feature_FlowNearSimilarity,feature_Size,feature_GLBound,feature_DistributionSimilar,feature_MaxSymmetry,feature_RuggednessCoeff,feature_LeastDominance,feature_MostDominance,feature_FixOnePropImprovement,feature_FitnessDistCorr,feature_AverageDistToOpt,feature_EscapeProb,feature_BaseDispMetric,feature_OptDispMetric,feature_AvgDescent,feature_OptFitnessCoeff,feature_EntropyDifference,base_scenario,succession
bur26a,bur26a,bur26a,0.030883,0.363862,0.605255,9.145745,10.123808,0.198317307692308,0.031119543056859,0.0,0.0237278644921957,0.628698224852071,0.223372781065089,0.0469215779959204,0.0988115664279542,0.759511500559272,0.326771922254533,0.136228166488162,0.436835657847051,0.0,0.0177514792899408,0.0009386606781,0.0057803133265254,0.0134466141871225,0.122576037703121,0.307473702419828,0.803544019200846,0.192350598252599,0.88727232549066,0.671324164536924,0.95467806046346,0.082299023649947,0.0652804591435747,0.155404263519694,0.689230769230769,59.2962324055381,0.0469215779959204,0.0988115664279542,0.295965448489456,-0.0013900889793537,0.963846153846154,0.49989121989122,0.0115384615384615,-0.0500000000000002,0.574615384615385,-0.0189508538843616,0.191429474401978,bur26a,SteadyState
bur26a_dual,bur26a,bur26a_dual,0.030883,0.363862,0.605255,9.145745,10.123808,0.198317307692308,0.031119543056859,0.0,0.0237278644921957,0.628698224852071,0.223372781065089,0.0469215779959204,0.0988115664279542,0.759511500559272,0.326771922254533,0.136228166488162,0.436835657847051,0.0,0.0177514792899408,0.0009386606781,0.0057803133265254,0.0134466141871225,0.122576037703121,0.307473702419828,0.803544019200846,0.192350598252599,0.88727232549066,0.671324164536924,0.95467806046346,0.082299023649947,0.0652804591435747,0.155404263519694,0.689230769230769,59.2962324055381,0.0469215779959204,0.0988115664279542,0.295965448489456,-0.0013900889793537,0.963846153846154,0.49989121989122,0.0115384615384615,-0.0500000000000002,0.574615384615385,-0.0189508538843616,0.191429474401978,bur26a,SteadyState
bur26b,bur26b,bur26b,0.033055,0.405233,0.561712,8.883416,9.862008,0.252736686390532,0.031119543056859,0.0,0.0237278644921957,0.628698224852071,0.223372781065089,0.043557276732193,0.0988115664279542,0.922948429604892,0.326771922254533,0.117287610766797,0.436835657847051,0.0,0.0177514792899408,0.0009344150339813,0.0057803133265254,0.0130413586617403,0.122576037703121,0.188075345572154,0.803544019200846,0.105911324556941,0.88727232549066,0.552673517867692,0.95467806046346,0.082299023649947,0.0720922981340052,0.167597342067598,0.843076923076923,63.3320571428375,0.043557276732193,0.0988115664279542,0.290933949104261,-0.0291443289783868,0.964230769230769,0.503154623154623,-0.0153846153846155,-0.0615384615384615,0.508461538461539,-0.0195351609001693,0.135609399650619,bur26b,SteadyState
bur26b_dual,bur26b,bur26b_dual,0.033055,0.405233,0.561712,8.883416,9.862008,0.252736686390532,0.031119543056859,0.0,0.0237278644921957,0.628698224852071,0.223372781065089,0.043557276732193,0.0988115664279542,0.922948429604892,0.326771922254533,0.117287610766797,0.436835657847051,0.0,0.0177514792899408,0.0009344150339813,0.0057803133265254,0.0130413586617403,0.122576037703121,0.188075345572154,0.803544019200846,0.105911324556941,0.88727232549066,0.552673517867692,0.95467806046346,0.082299023649947,0.0720922981340052,0.167597342067598,0.843076923076923,63.3320571428375,0.043557276732193,0.0988115664279542,0.290933949104261,-0.0291443289783868,0.964230769230769,0.503154623154623,-0.0153846153846155,-0.0615384615384615,0.508461538461539,-0.0195351609001693,0.135609399650619,bur26b,SteadyState
bur26c,bur26c,bur26c,0.031696,0.342857,0.625447,9.271762,10.244756,0.198317307692308,0.0415998296070979,0.0,0.02764,0.628698224852071,0.257396449704142,0.0469215779959206,0.0807681981365961,0.759511500559272,0.485086087098841,0.136228166488162,0.40053843327585,0.0,0.0207100591715976,0.0009386606781,0.004770554828033,0.0134466141871225,0.10522515570444,0.307473702419827,0.740059217494083,0.192350598252598,0.813321154644307,0.671324164536924,0.941674980416344,0.082299023649947,0.0788329428214074,0.153001303382767,0.689230769230769,57.3575145768973,0.0469215779959206,0.0807681981365961,0.350203978200272,0.0878470823699857,0.954615384615384,0.497964257964258,0.0038461538461538,-0.169230769230769,0.622692307692308,-0.0412084650958351,0.199581240506582,bur26c,NoElitism
bur26c_dual,bur26c,bur26c_dual,0.031696,0.342857,0.625447,9.271762,10.244756,0.198317307692308,0.0415998296070979,0.0,0.02764,0.628698224852071,0.257396449704142,0.0469215779959206,0.0807681981365961,0.759511500559272,0.485086087098841,0.136228166488162,0.40053843327585,0.0,0.0207100591715976,0.0009386606781,0.004770554828033,0.0134466141871225,0.10522515570444,0.307473702419827,0.740059217494083,0.192350598252598,0.813321154644307,0.671324164536924,0.941674980416344,0.082299023649947,0.0788329428214074,0.153001303382767,0.689230769230769,57.3575145768973,0.0469215779959206,0.0807681981365961,0.350203978200272,0.0878470823699857,0.954615384615384,0.497964257964258,0.0038461538461538,-0.169230769230769,0.622692307692308,-0.0412084650958351,0.199581240506582,bur26c,NoElitism
bur26d,bur26d,bur26d,0.034094,0.383748,0.582158,9.003668,9.984423,0.252736686390533,0.0415998296070979,0.0,0.02764,0.628698224852071,0.257396449704142,0.043557276732193,0.0807681981365959,0.922948429604892,0.485086087098841,0.117287610766797,0.40053843327585,0.0,0.0207100591715976,0.0009344150339813,0.004770554828033,0.0130413586617403,0.10522515570444,0.188075345572155,0.740059217494084,0.105911324556942,0.813321154644307,0.552673517867692,0.941674980416344,0.082299023649947,0.0873391896347362,0.165046174395302,0.843076923076923,61.4820324168293,0.043557276732193,0.0807681981365959,0.346852875069745,0.16051943924284,0.960384615384616,0.49939393939394,-0.0192307692307692,-0.130769230769231,0.56,-0.0401173202009997,0.138790698156566,bur26d,SteadyState
bur26d_dual,bur26d,bur26d_dual,0.034094,0.383748,0.582158,9.003668,9.984423,0.252736686390533,0.0415998296070979,0.0,0.02764,0.628698224852071,0.257396449704142,0.043557276732193,0.0807681981365959,0.922948429604892,0.485086087098841,0.117287610766797,0.40053843327585,0.0,0.0207100591715976,0.0009344150339813,0.004770554828033,0.0130413586617403,0.10522515570444,0.188075345572155,0.740059217494084,0.105911324556942,0.813321154644307,0.552673517867692,0.941674980416344,0.082299023649947,0.0873391896347362,0.165046174395302,0.843076923076923,61.4820324168293,0.043557276732193,0.0807681981365959,0.346852875069745,0.16051943924284,0.960384615384616,0.49939393939394,-0.0192307692307692,-0.130769230769231,0.56,-0.0401173202009997,0.138790698156566,bur26d,SteadyState
bur26e,bur26e,bur26e,0.021285,0.320633,0.658082,9.48944,10.443172,0.198317307692308,0.0396490145732461,0.0,0.028539714602854,0.628698224852071,0.312130177514793,0.0469215779959204,0.0906906068938631,0.759511500559272,0.406847626559454,0.136228166488162,0.345067314093138,0.0,0.0192307692307692,0.0009386606781,0.0036415231420718,0.0134466141871225,0.0921132207921507,0.307473702419828,0.736027016199224,0.192350598252599,0.794082092476925,0.671324164536924,0.94231381650419,0.082299023649947,0.0667498361413779,0.15518639335376,0.689230769230769,54.0086110657823,0.0469215779959204,0.0906906068938631,0.36622594604019,0.106136784154701,0.941153846153846,0.491623931623932,-0.0038461538461538,-0.1,0.565,-0.0372059853494835,0.183579528971763,bur26e,SteadyState
bur26e_dual,bur26e,bur26e_dual,0.021285,0.320633,0.658082,9.48944,10.443172,0.198317307692308,0.0396490145732461,0.0,0.028539714602854,0.628698224852071,0.312130177514793,0.0469215779959204,0.0906906068938631,0.759511500559272,0.406847626559454,0.136228166488162,0.345067314093138,0.0,0.0192307692307692,0.0009386606781,0.0036415231420718,0.0134466141871225,0.0921132207921507,0.307473702419828,0.736027016199224,0.192350598252599,0.794082092476925,0.671324164536924,0.94231381650419,0.082299023649947,0.0667498361413779,0.15518639335376,0.689230769230769,54.0086110657823,0.0469215779959204,0.0906906068938631,0.36622594604019,0.106136784154701,0.941153846153846,0.491623931623932,-0.0038461538461538,-0.1,0.565,-0.0372059853494835,0.183579528971763,bur26e,SteadyState
